!	!, хороший ход, сильный ход
!!	!!, прекрасный ход, блестящий ход
!?	!?, ход, приводящий к неясным осложнениям
-dimensional	-мерный (mérnyj)
Tamil	тамил (tamíl)
Tamil	тамил (tamíl) (m)
Tamil	тамильский (tamíl’skij)
Tamil Nadu	Тамил Наду (Tamíl Nádu)
Tamil Tiger	Тамильский тигр (Tamíl’skij tigr) (m)
Tamil Tigers	Тамильские тигры (Tamíl’skije tígry) (m) (p)
Tangiers	Танжер (Tanžér) (m)
Tanzania	Танзания
Tashkent	Ташкент
Tatar	татарский язык (tatárskij jazýk) (m)
Tatar	татары (p), татарин (m), татарка (f)
Tbilisi	Тбилиси (Tbilísi) (m)
Tehran	Тегеран (Tegerán) (m)
Tel Aviv	Тель-Авив (Tɛl’-Avív)) (m)
Tel Aviv-Jaffa	Тель-Авив и Яффа (Tɛl’-Avív i Jáffa))
Telescopium	Телескоп
Template:color-colour (verb)	красить (krásit’)
Template:color-colour (verb)	краснеть (krasnét’), рдеться (rdét’sja)
Template:color-colour (verb)	раскрашивать/раскрасить (raskrášivat'/raskrásit')
Tennessee	Теннесси (Tɛnnɛssí))
Tetragrammaton	тетраграмматон (tetragrámmaton) (m)
Tetris	Тетрис (Tétris) (m)
Teutonic Knights	Тевтонский орден
Texan	техасец (teχásets) (m)
Texas	Техас (Teχás) (m)
Thai	тайский (tájskij) (m)
Thailand	Таиланд (Tailánd) (m)
Thames	Темза (Tɛ́mza)) (f)
The Hague	Гаага (Gaága) (f)
The Hobbit	Хоббит или Туда и Обратно
Third World	Третий мир Страны третьего мира
Thomas	Фома
Thompson submachine gun	пистолет-пулемёт Томпсона (pistolét-pulemjót Tómpsona) (m)
Thursday	четверг (četvérg) (m)
Tibet	Тибет (Tibét) (m)
Tigris	Тигр (Tigr) (m)
Tirana	Тирана (f)
Togo	Того
Tokelau	Токелау острова
Tokyo	Токио (Tókio) (m)
Tonga	Тонга
Toronto	Торонто (Torónto)
Traditional Chinese	Традиционный китайский (Traditsionny kitayskiy)
Transcaucasian SFSR	Закавказская СФСР (Zakavkazskaja SFSR)
Triangulum	Треугольник
Triangulum Australe	Южный Треугольник
Triangulum Galaxy	Галактика Треугольника
Trieste	Триест (Trijést)
Trieste	Триест (Trijést) (m)
Trinidad and Tobago	Тринидад и Тобаго
Tripoli	Триполи
Tucana	Тукан
Tuesday	вторник (vtórnik) (m)
Tula	Тула
Tula	Тульская область
Tunisia	Тунис
Turin	Турин (Turín)
Turin	Турин (Turín) (m)
Turkey	Турция (Túrtsija) (f)
Turkmen	туркмен (turkmén) (m), туркменка (turkménka) (f)
Turkmen	туркменский (turkménskij)
Turkmen SSR	Туркменская ССР (Turkmenskaja SSR)
Turkmenistan	Туркменистан (m), Туркмения (f)
Turks and Caicos Islands	Теркс и Кайкос острова
Tuvalu	Тувалу
UAE	ОАЭ
UFO	НЛО
UN Security Council	Совет Безопасности
USA	США "m pl"
USSR	СССР (SSSR) (m)
Uganda	Уганда
Ukraine	Украина (Ukraína) (f)
Ukrainian	украинец (ukraínets) (m), украинка (ukraínka) (f)
Ukrainian	украинский (ukraínskij)
Ukrainian	украинский (ukraínskij) (m)
Ukrainian SSR	Украинская ССР (Ukrainskaja SSR)
Uluru	Улуру (Úluru) (m), Айерс-Рок (Ájers-Rok) (m)
Unicode	Юникод (Junikód) (m)
Union of Soviet Socialist Republics	Союз Советских Социалистических Республик (Soyúz Sovétskikh Sotsialistíčeskikh Respúblik)
United Arab Emirates	Объединённые Арабские Эмираты (Ob”jedinjónnyje Arábskije Emiráty) (m) (p)
United Kingdom	Великобритания (Velikobritánija) (f), Соединённое Королевство Великобритании и Северной Ирландии (Sojedinjónnoje Korolévstvo Velikobritánii i Sévernoj Irlándii) (n)
United Nations	Организация Объединённых Наций (Organizátsija Ob&quot;jedinjónnyχ Nátsij) (f) (Abbr: ООН)
United States Army	Армия Соединённых Штатов Америки (Ármija Sojedinjónnyx Štátov Amériki) (f)
United States of America	Соединённые Штаты Америки (Sojedinjónnyje Štáty Amériki) (mpl), США
Universal Declaration of Human Rights	Всеобщая декларация прав человека (f)
Uranus	Уран (m)
Urim and Thummim	Урим и Туммим
Ursa Major	Большая Медведица
Ursa Minor	Малая Медведица
Uruguay	Уругвай (Urugváj) (m)
Utah	Юта (Júta) (f)
Uzbek	узбек (uzbék) (m), узбечка (uzbéčka) (f)
Uzbek	узбекский (uzbékskij)
Uzbek SSR	Узбекская ССР (Uzbekskaja SSR)
Uzbekistan	Узбекистан
Vancouver	Ванкувер (Vankúver) (m)
Vanuatu	Вануату
Varangian	Варяг (Varjág) (m)
Vatican City	Ватикан
Vega	Вега
Vela	Паруса
Venezuela	Венесуэла (Venesuéla) (f)
Venus	Венера (f)
Vermont	Вермонт (Vermónt) (m)
Victor	Виктор (Víktor) (m)
Vienna	Вена (Véna) (f)
Vietnam	Вьетнам (V’jetnám) (m)
Virgin Mary	Дева Мария (d'éva maríja)
Virginia	Виргиния (Virgínija) (f)
Virgo	Дева (Déva) (f)
Virgo	Дева (Déva) (f)
Vladivostok	Владивосток (Vladivostók) (m)
Volga	Волга (Vólga) (f)
Vulgar Latin	вульгарная латынь (vul’gárnaja latýn’) (f)
WTF	Что за чёрт? (što za čort), Какого чёрта? (kakóvo čórta)
Wales	Уэльс (Uɛ́l’s)) (m)
Wallis and Futuna	Уоллис и Футуна
Wandering Jew	Вечный Жид (v'éčnyj žid) (m) (1)
Warsaw	Варшава (f)
Washington	Вашингтон (Vašingtón) (m)
Wednesday	среда (sredá) (f)
Wellington	Веллингтон (Véllington) (m)
Welsh	валлийский) (vallíjskij) (m), уэльский) (uél’skij) (m)
Welsh	валлийский) (vallíjskij) (m), уэльский) (uél’skij) (m)
West Virginia	Западная Виргиния (Západnaja Virgínija) (f)
Western Sahara	Западная Сахара (Západnaja Sakhára) (f)
Wheel of Fortune	Колесо удачи (Koleso udachi)
Wikipedia	Википедия (Vikipedija)
Wikisaurus:foreskin	zalupa
Wikisaurus:glans	zalupa
Wikisaurus:vulva	пизда (pizdá)
Wiktionary	Вики-словарь (Viki-slovár’) (m)
Wiktionary	Вики-словарь (Viki-slovár’) (m)
Wiktionary:Entry layout explained	апельсин (apelsin) (m)
Winnipeg	Виннипег (Vínnipeg) (m)
Winter Triangle	Зимний треугольник
Wisconsin	Висконсин (Viskónsin) (m)
World Exposition	всемирная выставка
World War I	Первая мировая война
World War II	Вторая Мировая война
Wyoming	Вайоминг (Vajóming) (m)
X	икс (iks)
X-ray	просвечивать/просветить (prosv'éčivat'/prosv'etít')
X-ray	рентген (r'entg'én) (m)
X-ray	рентген (r'entg'én) (m), рентгенограмма (r'entg'enográmma) (f)
X-ray	рентгеновский (r'entg'énovskij)
X-ray	рентгеновский луч (r'entg'énovskij luč) (m), рентген (r'entg'én) (m)
Xhosa	коса (kósa)
Yangon	Янгон (Jangón) (m), Рангун (Rangún) (m)
Yankee	Янки
Yemen	Йемен
Yiddish	идиш (ídiš)
York	Йорк (Jork) (m)
Yoruba	йоруба (jóruba) (f)
You-Know-Who	Сам-Знаешь-Кто (Sam-Znáješ-Kto)
Yugoslavia	Югославия (Jugoslávija) (f)
Zagreb	Загреб (m)
Zambia	Замбия (Zámbija) (f)
Zazaki	зазаки (zazáki)
Zeeland	Зеландия (f)
Zimbabwe	Зимбабве
Zürich	Цюрих
a bird in the hand is worth two in the bush	За двумя зайцами погонишься, ни одного не поймаешь
a cold day in Hell	когда рак на горе свистнет (when the crayfish will whistle on the mountain top)
a dime a dozen	как собак нерезанных,двенадцать на дюжину
a drop in the bucket	Капля в море
a friend in need is a friend indeed	Друг познаётся в беде
a little	немного
a.m.	утра́) (utrá)
aardvark	трубкозуб (trubkozúb) (m)
aardwolf	земляной волк
abaca	текстильный банан (m), абака (f)
abacus	абак (abák) (m), абака (abáka) (f)
abacus	абак (abák) (m), счёты (sčóty) (p)
abandon	беззаботность (bezzabótnost’) (f); ("to do with abandon") за- "(verbal prefix)" + "verb" + -ся "(reflexive suffix)"
abandon	оставлять (ostavlját’), бросать (brosát’), покидать (pokidát’)
abandon	отказываться от (otkázyvat’sja ot), оставлять (ostavlját’), бросать (brosát’), покидать (pokidát’)
abattoir	бойня (bójn'a) (f)
abbey	аббатство (n), монастырь (monastýr') (m)
abbreviate	сокращать (sokraščát’)
abbreviation	сокрaщение (sokraščénije) (n), аббревиатура (abbreviatúra) (f)
abbreviation	сокрaщение (sokraščénije) (n), урезание (ur'ezánije) (n)
abdomen	брюшная полость (brjušnája pólost’) (f)
abduct	похитить
abhor	ненавидеть, питать отвращение
ablative case	аблятивный падеж (abljatívnyj padéž) (m)
ablaze	в огне
ablaze	в пылу
ablaze	возбуждённый, пылкий, горящий
abode	Жилище
abolish	отменить
abominable snowman	снежный человек (snežnyj čelovék) (m)
abortion	аборт (m)
about	в обратную сторону (v obrátnuju stóronu), обратно (obrátno)
about	в окружности (v okrúžnosti)
about	вокруг (vokrúg)
about	готов
about	кругом (krugóm), вокруг (vokrúg)
about	по (po)
about	почти (počtí)
about	приблизительно (priblizít'el'no), примерно (prim'érno)
about	про
about	рядом (r'ádom), поблизости (poblízosti), недалеко (n'edal'ekó)
about	туда-сюда (tudá-s'udá), взад-вперёд (vzad-vp'er'ód)
above	над (nad) (1), превыше (pr'evýše) (2), свыше (svýše)
abroad	за границу
abscess	гнойничок (gnojničók) (m)
absence	отсутствие (otsútstvije) (n)
absence seizure	абсанс (absáns) (m)
absinth	абсент (absént) (m)
absinth	полынь (polýn’) (f)
absinthe	абсент (absént) (m)
absolute	абсолютный (absoljútnyj)
absolute	положительная степень (položítel’naja stépen’) (f) (2)
absolutism	абсолютизм
absolutive case	абсолютный пaдeж (absoljútnyj padéž) (m)
absolve	освобождать от (osvoboždat’ ot)
absolve	освобождать от (osvoboždat’ ot), снимать (snimát’)
absolve	прощать (proščát’), отпускать (otpuskát’)
absorbent	абсорбент (absorbént) (m)
absorbent	абсорбирующий (absorbirújuščij), гигроскопичный (gigroskopíčnyj)
abstain	воздержаться
abstract	абстрагировать (abstragírovat')
abstract	абстрактный (abstráktnyj)
abstract	абстрактный (abstráktnyj)
abstract	конспект (m), реферат (m)
abstract verb	разнонаправленный глагол (raznonaprávlennyj glagól) (m)
abuse	злоупотребление (zloupotreblénije) (n)
abuse	злоупотреблять (zloupotreblját’)
abuse	издевательство (izdevátel’stvo) (n)
abuse	издеваться (izdevát’sja)
abuse	оскорбление (oskorblénije) (n), брань (bran’) (f), ругань (rúgan’) (f)
abuse	оскорблять (oskorblját’), ругать (rugát’), обругать (obrugát’)
abut	граничить, примыкать, прилегать, упираться
abuttal	межа (mežá) (f), граница (graníca) (f)
abysm	бездна (m)
acacia	акация (akátsija) (f)
accadian	аккадский (m), аккадская (f), аккадское (n)
accelerate	ускорить/ускорять uskor'át'/
accelerate	ускорить/ускорять uskor'át'/
accelerate	ускорить/ускорять uskor'át'/
accelerate	ускориться/ускоряться uskor'át's'a/
acceleration	ускорение (f)
acceleration	ускорение (f), разгон (m)
accent	акцент (akcént) (aktsént) (m)
accent	знак ударения (znak udar'énija) (m)
accent	ударение (udar'énije) (n)
accept	принять /prinyat'/
accept	принять /prinyat'/
accept	принять /prinyat'/
accept	принять /prinyat'/
acceptor	акцептант (m)
accident	авария
accidental	случайный (sluchainy)
accommodate	приспособиться
accordion	гармоника (garmónika) (f), гармонь (garmón’) (f)
accumulator	аккумулятор (akkumuljátor) (m)
accusative	винительный (vinítel’nyj) (m)
accusative	винительный падеж (vinítel’nyj padéž) (m)
accusative case	винительный падеж (vinítel’nyj padéž) (m)
accusatory	обвинительно
ace	ас (as) (m)
ace	туз (tuz) (m)
ace	эйс (ejs) (m)
ace up one's sleeve	туз в рукаве (tuz v rukav'é)
acetone	ацетон (atsetón) (m)
achievement	достижение (dostižénije) (n) (1), успех (usp'éχ) (m) (1), подвиг (pódvig) (m) (2), свершение (sv'eršénije) (n) (2)
acid	кислота (kislotá) (f)
acid	кислотный (kislótnyj)
acid	кислый (kíslyj) comparable)
acid	кислятина (kisl'átina) (f)
acid	тартрат диэтиламида лизергиновой кислоты (m), ЛСД (m), кислота (kislotá) (f)
acorn	жёлудь (žólud’) (m)
acoustics	акустика
acquired	приобретённый (priobretjónnyj) (m)
acre	акр
acronym	акроним (m)
act like a bull in a china shop	Вести себя, как слон в посудной лавке)
act one's age	не будь ребенком
action	действие (djéjstvije) (n), воздействие (vozdjéjstvije) (n)
action	действие (djéjstvije) (n), поступок (postúpok) (m)
action	дейтвие (djéjstvije) (n), механизм (m'eχanízm) (m), работа (rabóta) (f)
active volcano	действующий вулкан (m), огнедышащий вулкан (m)
actual	действительный (dejstvítel’nyj), истнинный (ístinnyj), настоящий (nastojáščij), реальный (reál’nyj)
actual	нынешний (nýnešnij)
actually	действительно
acupuncture	акупунктура (akupunktúra) (f)
ad infinitum	бесконечно
add	добавить (dobavit')
add	прибавить /pribavit'/
add fuel to fire	подливать масла в огонь (to pour more oil into fire)
adder	гадюка (f)
addition	сложение (f)
addition	сложение (f), прибавление (f)
adduce	представлять, приводить (в качестве доказательства)
adipose fin	жировой плавник /žirovoj plavník/ (m)
adjective	имя прилaгaтeльнoe (ímja prilagátel’noje) (n)
adjective	прилaгaтeльный (prilagátel’nyj)
adjust	отрегулировать
administrator	администратор (administrátor) (m)
admiralty law	морское право (n), адмиралтейское право (n)
admiration	восхищение "(vosxiščénije)" (n)
adopt	принять (prinyat')
adoptive father	адоптивный отец (apostivny otets)
advantage	преимущество (pr'eimúš'estvo) (n) (1), превосходство (pr'evosχódstvo) (n) (2)
adventure	авант́юра (avant'úra) (f)
adventure	авант́юра (avant'úra) (f)
adventure	приключ́ение (prikl'učénije)
adventure	рисков́ать (riskovát')
adverb	наречие (naréčije) (n)
adverbial participle	деепричастие (dejepričástije) (n)
advertisement	объявление, реклама, анонс, заявление, извещение
advice	совет /sovet/ (1)
advocate	адвокат (m)
advocate	сторонник (m)
adze	тесло (n) (teslo)
aeroplane	самолёт (samoljót) (m), аэроплан (aeroplán) (m)
affix	аффикс (áffiks) (m)
affix	добавление (dobavl'énije) (n), дополнение (dopoln'énije) (n), придаток (pridátok) (n)
affricate	аффриката (affrikáta) (f)
after	в честь (v čest'), по мотивам (po motívam)
after	за (za), в поисках (v póiskaχ)
after	за (za), позади (pozadí)
after	из-за (iz-za), в результате (v r'ezul'táte)
after	после (pósl'e)
after	после (pósl'e)
after	после (pósl'e)
after all	В конце концов
aftershave	одеколон (odekolón) (m), лосьон (losjón) (m)
again	опять (opját’)
age	возраст (vózrast) (m)
age	возраст (vózrast) (m)
age	возраст (vózrast) (m)
age	возраст (vózrast) (m)
age	поколение (n)
age	совершеннолетие (sov'eršennol'étije) (m)
age	стареть/состариться (star'ét')/(sostárit's'a)
age	старить/состарить (stárit')/(sotárit')
age	старость (f), возраст (m), года (pl) (literally translates years)
age	эпоха (f), эра (f), время (n) (often used in its plural form времена), век (m) (especially to indicate particular century)
age	эпоха (f), эра (f), время (n) (often used in its plural form времена), век (m) (especially to indicate particular century)
agnate	единокровный (jedinkróvnyj)
ago	тому назад (tomú nazád)
agoraphobia	Агорафобия (agorafobiya/agorafobija)
agouti	агути /agúti/ (m)
agree	согласовывать (soglasovyvatʹ)
agreement	согласие (soglásije) (n)
agreement	согласие (soglásije) (n)
agreement	согласие (soglásije) (n)
agreement	согласие (soglásije) (n)
agreement	согласование (soglasovánije) (n)
agreement	соглашение (soglšénije) (n)
aha	ага
aid	помогать
aim	цель (tsel’) (f), намерение (namereniye) (n)
air	воздух (vózdukh) (m)
air bridge	воздушный мост (vozdúšnyj most) (m)
air force	военно-воздушные силы (vojénno-vozdúšnyje síly) (f) (p)
aircraft	летательный аппарат (m), воздушное судно (n)
aircraft carrier	авиаматка (aviamátka) (f), авианосец (avianósets) (m)
airliner	пассажирский самолёт (passažírskij samoljót) (m)
airplane	самолёт (samoljót) (m), аэроплан (aeroplán) (m)
airport	аэропорт
al-Qaeda	Аль-Каида (Al’-Káida) (f)
alarm clock	будильник (m)
albatross	альбатрос (al'batrós) (m)
albino	cуществительное
albumen	белок (belók) (m)
alchemist	алхимик (m) (alkhimik)
alcohol	спирт (spirt) (m)
alcoholic	алкоголик (alkogólik) (m)
alcoholic	алкоголик (alkogólik) (m), пьяница (p'jánica) (m)
alcoholic	алкогольный (alkogól'nyj)
alcoholic	алкогольный (alkogól'nyj)
alcoholism	алкоголизм (alkogolízm) (m)
aldehyde	альдеги́д (m)
alder	ольха (ol’χá) (f)
ale	эль (el’) (m)
algebra	алгебра (álgebra) (f)
algebra	алгебра (álgebra) (f)
algebra	алгебра (álgebra) (f)
algorithm	алгоритм (algoritm) (m)
alibi	алиби (álibi) (n)
alive	жив, -а, -о
all	весь (m), вся (f), всё (n), все (p)
all	весь (m), вся (f), всё (n), все (p)
all	всё (vsë), мир (mir)
all	совсем (sovsém), полностью (pólnost’ju)
all but	почти что
allative case	аллативный падеж (allatívnyj padéž) (m)
alligator	аллигатор (m)
alloy	сплав (spláv) (m)
almanac	альманах (al'manáχ)
almond	миндаль (m)
almond	миндаль (m)
almost	почти (pochti)
alone	одинокий
along	вдоль (vdol’)
alpaca	альпака (al'páka)
alpha	альфа (ál'fa) (f)
alphabet	алфавит (alfavít) (m), азбука (ázbuka) (f)
alphabetic	алфавитный (alfavítnyj)
alpine chough	альпийская галка (al'pijskaja galka) " "
already	уже (užé)
also	тоже, также
alternating	переменный (pereménnyj), чередующийся (čeredújuščijsja), чередуясь (čeredújas’)
alternating current	переменный ток (p'er'eménnyj tok) (m)
aluminium	алюминий (aljumínij) (m)
aluminum	алюминий (aljumíniĭ) (m)
always	всегда (vsegdá)
amalgamated	объединённый (ob”jedinjónnyj)
amaranth	амарант (m)
amaretto	амаретто (amarétto) (n)
amazing	изумительный
amber	янтарный
amber	янтарь (m)
ambergris	амбра
ambiguity	[двусмысленность, неясность
ambition	амбиция (ambítsija) (f)
ambivalence	неоднозначность, амбивалентность
ambivalence	нерешительность, неуверенность
ameliorate	улучшать
amen	аминь (amín’)
amethyst	аметист (m)
amount	количество
ampere	ампер (ampér) (m)
ampersand	амперсанд (ampersánd); знак конъюнкции (znak kon&quot;júnktsii)
amphetamine	амфетамин (m)
amphibian	амфибия (f)
amphibious	земноводный (m), земноводная (f), земноводное (n)
amplitude	амплитуда (amplitúda) (f)
amplitude	амплитуда (amplitúda) (f)
amplitude	полнота (polnotá) (f), широта (širotá) (f)
amuse	забавлять (zabavl'át') (1), развлекать (razvl'ekát') (2)
an	"not used"
an arm and a leg	влететь в копеечку /fly into kopeck/, ударить по карману /strike the pocket/
anachronistic	анахронистическо (anakhronistichesko)
anaconda	анаконда /anakónda/ (f)
anal fin	анальный плавник /anál'nyj plavník/ (m)
anal sex	анальный секс (anál’nyj seks)
analogy	аналогия (analógia) (f)
analyst	аналитик (m)
analyst	психиатр (m)
anarchism	анархизм "(anarhizm)"
anarchy	анархия (anárχija) (f)
anarchy	анархия (anárχija) (f)
anathema	анафема (anáfema) (f)
anathema	проклятие (prokljátije) n
anatomy	анатомирование (anatomirovánije) (n)
anchovy	анчоус /ančóus/ (m), хамса /χamsá/ (f)
ancient	древний /dr'évnij/
and	а, но (adversative), и
and	и (i)
and	и (i)
and so forth	и т. д., и так далее (i tak dáleje)
and so on	и т. д., и так далее (i tak dáleje)
anew	снова (snóva)
angel	ангел
angelica	ангелика (angélika) (f)
anger	гнев (gn'ev) (m), злость (zlost') (f), злоба (zlóba) (f)
anger	злить (zlit'), сердить (s'erdít'), гневить (gn'evít')
angle	угол (m)
angle	угол (m)
anglerfish	рыба-удильщик /rýba-udíl'ščik/ (f)
anguish	му́ка (f)
animal	животное (živótnoje) (n), зверь (zverʼ) (m)
animal	звериный (zverínyj) (m)
animal	зверь (zverʼ) (m)
animate	одушевлённый (oduševlyónyj)
ankle	лодыжка (f), щиколотка (f)
anniversary	годовщина (godovščina) (m)
anno Domini	после Рождества Христова (pósle Roždestvá Hristóva) ("abbr." после Р. Хр.); нашей эры (nášej éry) ("abbr." н. э.)
annoy	надоедать (nadoedat'), надоесть (nadoest')
annual	годичный /godíčnyj/,ежегодный /ježegódnyj/
annual	ежегодник /ježegódnik/ (m)
annually	ежегодно /ježegódno/
annul	аннулировать (annulirovat)
anoa	аноа (anóa) (m)
anoint	помазывать/помазать (pomázyvat'/pomázat')
anoint	смазывать/смазать (smázyvat'/smázat')
answer	ответ
answer	решение
ant	муравей (muravéj) (m)
antarctic	антарктический (antarktíčeskij)
anteater	муравьед (murav'jéd) (m)
antebellum	довоенный /dovojénnyj/ (1)
antediluvian	допотопный /dopotópnyj/ (1,2,3)
antelope	антилопа /antilópa/ (f)
antenna	антенна (anténna) (f)
antenna	антенна (anténna) (f), ус (us) (m)
anthill	муравейник
anthrax	сибирская язва (sibírskaja jázva) (f)
anthropology	антропология (antropológija) (f)
anti-	противо-
anticlockwise	против часовой стрелки (prótiv časovój strélki)
antimony	сурьма (sur’ma) (f), стибиум (stíbium) (m)
antiparticle	античастица (antičastíca) (f)
antiquark	антикварк (antikvárk) (m)
antler	рога (pl)
antlion	муравьиный лев (murav'jínyj l'ev) (m)
anus	анус (ánus) (m), анальное отверстие (anál’noje otvérstije) (n), задний проход (zádnij proχód) (m)
any	любой (ljubój), кто-нибудь (któ-nibud’), что-нибудь (štó-nibud’)
anywhere	где-либо
aorist aspect	аорист (aórist) (m)
aorta	аорта (aórta) (f)
ape	обезьяна (obez'yana)
aphid	тля /tl'a/ (f)
aphorism	афоризм (ru)
apollo	Аполлон (Apollón) (m)
apology	оправдание (1), извинение (2)
apostasy	отступничество (otstupníčestvo)
apostilb	апостильб (apostíl’b) (m)
apothegm	изречение (izrečénije) (n)
apparition	появление, привидение
appendage	придаток (pridátok) (m)
appendage	придаток (pridátok) (m)
appendage	приложение (priložénije) (n), привесок (privésok) (m)
appendix	аппендикс (app'éndiks) (m)
appendix	приложение (priložénije) (n), дополнение (dopoln'énije) (n)
apple	яблоко (jábloko) (n)
apple	яблоня (jáblonja) (f)
apple juice	яблочный сок (jábločnyj sok) {m{}
apple of discord	яблоко раздора (n)
apple tree	яблоня (jáblonja) (f)
appreciate	быть признательным
appreciate	высоко ценить
appreciate	дорожать
appreciate	принимать во внимание
approach	подойти (podojtí) "(to walk up closer to)", приблизиться (priblizít’s’a) "(to get gloser)", применить (primenít’) "(to apply a solution to a problem)"
approximately	приблизительно, примерно, около
apricot	абрикос (abrikós) (m)
apricot	абрикос (abrikós) (m)
apricot	абрикосовый (m)
apropos	кстати (kstáti)
aqua regia	царская водка (tsárskaja vódka) (f)
aquatic	акватический (m), акватическая (f), акватическое (n)
aqueduct	акведук (m)
aqueduct	акведук (m)
araba	арба (árba) (f)
arbitrary	произвольный (proizvól'nyj)
arbitrary	произвольный (proizvól'nyj)
archaeology	археология (arhěologiǎ) (f)
archaic	архаичный (m), архаичная (f), архаичное (n)
archangel	архангел (arkhángel) (m)
archduke	эрцгерцог (ercgérzog) (m)
archenemy	заклятый враг
architect	архитектор (arχit'éktor) (m), зодчий (zódčij) (m)
architecture	архитектура (f)
archive	архив (arkhív) (m)
archive	архивировать (arkhivírovat’)
are	"(not used)"
are	"(not used)"
are	"(not used)"
are	ар (ar) (m)
are	суть "(archaic)"
area	площадь (f)
arf	ав-ав (av-av)
argent	серебристый
argent	серебро (serebró) (n), аргентум (argéntum) (m)
argon	аргон (argón) (m)
argument	аргумент (m)
argument	аргумент (m)
argument	обоснование (m)
argument	спор (m)
arise	возникать (voznikát’)
arm	вооружать(ся) / вооружить(ся) (vooružát’ / vooružít’)
arm	оружие (orúžije) (n)
arm	рука (ruká) (f)
arm	ручка (rúčka) (f)
armadillo	броненосец (bron'enós'ec) (m)
armchair	кресло (kréslo) (n)
armed to the teeth	вооружённый до зубов
armpit	подмышка (podmýška) (f)
armrest	подлокотник (podlokótnik) (m)
army	армия (f)
aroma	аромат (aromát) (m), благоухание (blagoukhánije) (n)
aromatic	ароматически, ароматичны
around the clock	Круглые сутки
arrange	устраивать (ustráivat’)
array	массив (m)
array	убор (ubór) (m), наряд (nar'ád) (m), одеяние (od'ejánije) (n)
arrestee	арестованный (arestóvannyj) (m), арестант (arestánt) (m)
arrow	стрела (strelá) (f)
arrow	стрелка (strélka) (f)
art	искусство (iskússtvo) (n)
artery	артерия (artérija) (f)
artichoke	(artishok koliuchii)
article	артикль (artíkl') (m)
article	предмет (pr'edm'ét) (m)
article	предмет (pr'edm'ét) (m)
article	статья (stat'já) (f)
article	статья (stat'já) (f)
as	как
as	как
as	как
as	как
as	когда
as	когда (kogdá)
as	когда (kogdá)
as	поскольку (poskól’ku)
ascension	вознесение (vozn'es'énje) (m)
ascension	подъём (podjóm) (m)
ash	пепел (pépel) (m), зола (zolá) (f)
ash	ясень (jásen’) (m)
ash	ясень (jásen’) (m)
ask	просить (prosít’)
ask	спрашивать (sprášivat’)
ask for	напрашиваться
ask for it	напрашиваться
aspect	вид (vid) (m)
aspen	осина (osína) (f)
ass	жопа (žópa) (f), попа (pópa) (f), задница (zádnica) (f), зад (zad) (m), срака (sráka) (f)
ass	осёл (os'ól) (m), ишак (išák) (m)
ass	осёл (osjól) (m)
asshole	жопа (žópa) (f)
asshole	засранец (zasránets) (m)
aster	астра (f) (astra)
asteroid	астероид
asthenia	слабость (slabost'), астения (asteniya)
astronaut	космонавт
astronomy	астрономия (f)
astrophysics	астрофизика (astrofízika) (f)
asymptote	асимптота (asimptóta) (f)
asymptotic	асимптотический (asimptotíčeskij)
at	в (v)
at	в (v), на (na)
at	в (v), на (na), при (pri), у (u), возле (vózle)
at a glance	на пе́рвый взгляд (na pérvyj vzgl'ád); с первого с пе́рвого взгля́да (s pérvogo vzgl'áda); сра́зу (srázu)
at once	сразу (srázu)
atheism	атеизм (ateízm) (m)
atlas	Атлант (m)
atlas	атлас (m)
atlas	атлас (m)
atlas	атлас (m)
atmosphere	атмосфера (f) воздух (m)
atmosphere	атмосфера (f) воздух (m)
atmosphere	атмосфера (f) настроение (n), настрой (m)
atrocity	злодеяние (zlodeyanie)
attach	прикреплять /prikreplyat'/
attack	атака (atáka) (f), нападение (napadénije) (n)
attack	атака (atáka) (f), удар (udár) (m)
attack	атаковать (atakovát’) "pf., impf."; нападать (napadát’) "impf.", напасть (napást’) "pf."
attempt	прóба, испытáние
attempt	прóбовать, испытывать
attic	чердак (m) (cherdàk)
attributive	определительный (opredelítel'nyj) (m)
aubergine	баклажан (baklažán) (m)
aubergine	баклажан (baklažán) (m)
audience	публика (f), аудитория (f)
auditory	слуховой (sluχovój)
augend	слагаемое (slagájemoje) (n)
august	величественный (velíčestvennyj)
auk	гагарка (gagárka) (f)
aunt	("colloq.") тётя (tjótja) (f)
aunt	тётка (tjótka) (f), ("colloq.") тётя (tjótja) (f)
aunt	тётка (tjótka) (f), ("colloq.") тётя (tjótja) (f)
aunt	тётка (tjótka) (f), ("colloq.") тётя (tjótja) (f)
aunt	тётка (tjótka) (f), ("colloq.") тётя (tjótja) (f)
auntie	тётка (tjótka) (f)
aurochs	тур (tur) (m)
aurora australis	южное полярное сияние (n)
aurora borealis	северное полярное сияние (n)
auscultate	слушать (slúšat’)
author	автор (m), творец (m), создатель (m)
authority	авторитет (avtoritét) (m)
authority	авторитет (avtoritét) (m)
authority	авторитет (avtoritét) (m)
autobiography	автобиография
autocannibalism	автоканнибализм (m), самопоедание (n)
autocracy	Автократия
autodidact	автодидакт (m), самоучка (m)
automatic	автоматический
automobile	автомобиль (avtomobíl’) (m), машина (mašína) (f) "(informal)", тачка (táčka) (f) "(slang)"
autonomous	автономно "m/f/n"
autonomy	автономия (avtonómija) (f)
autumn	осень (osen')
availability	наличие (n)
avalanche	лавина (lavína) (f)
